,0,1
0,"(6, 2, 0)",0.05415414906624047
1,"(6, 2, 1)",0.05420802610295051
2,"(6, 2, 2)",0.05418654425581504
3,"(6, 2, 3)",-0.30525163339378497
4,"(6, 2, 4)",-2.2627358858470648
5,"(6, 1, 0)",2.342674269866092
6,"(6, 1, 1)",0.08852340643403436
7,"(6, 1, 2)",0.0
8,"(6, 1, 3)",-0.01708924520793058
9,"(6, 1, 4)",-0.07319009907838926
10,"(7, 2, 0)",0.028933565265750697
11,"(7, 2, 1)",0.05811815754557812
12,"(7, 2, 2)",0.030618099251693454
13,"(7, 2, 3)",-0.14179538890320104
14,"(7, 2, 4)",-1.2093955917600792
15,"(7, 1, 0)",1.139742428993404
16,"(7, 1, 1)",0.02292209515782937
17,"(7, 1, 2)",0.0003410923459599579
18,"(7, 1, 3)",-0.0070671173209184085
19,"(7, 1, 4)",-0.01600434781124005
20,"(7, 0, 0)",0.05934350661498566
21,"(7, 0, 1)",0.00026847232586377424
22,"(7, 0, 2)",0.0008068651308207619
23,"(7, 0, 3)",-0.001747953295871716
24,"(7, 0, 4)",-0.02575139295296373
25,"(8, 2, 0)",0.002582548211145417
26,"(8, 2, 1)",0.0031355372802119126
27,"(8, 2, 2)",0.0025829734810420735
28,"(8, 2, 3)",0.0012080420874870765
29,"(8, 2, 4)",-0.15728604553611825
30,"(8, 0, 0)",0.005132830092957311
31,"(8, 0, 1)",0.0003770504265699521
32,"(8, 0, 2)",8.5546312882934e-05
33,"(8, 0, 3)",0.0013709049775666457
34,"(8, 0, 4)",-0.004939606245676334
35,"(9, 2, 0)",-0.04270760791302485
36,"(9, 2, 1)",0.044952439539710114
37,"(9, 2, 2)",0.09596757731309997
38,"(9, 2, 3)",0.1289351699879006
39,"(9, 2, 4)",0.39308108772749484
40,"(10, 2, 0)",-0.3513547947477376
41,"(10, 2, 1)",-0.026648714037442824
42,"(10, 2, 2)",9.50579173545925e-15
43,"(10, 2, 3)",-0.007534796635874258
44,"(10, 2, 4)",-0.08844051878173545
45,"(11, 2, 0)",-0.5547694459108248
46,"(11, 2, 1)",-0.17981103068566698
47,"(11, 2, 2)",1.7770827481512726e-11
48,"(11, 2, 3)",-0.0005277205605565436
49,"(11, 2, 4)",-0.10695222705835244
50,"(11, 0, 0)",-0.10681924416823076
51,"(11, 0, 1)",-0.07999345727758819
52,"(11, 0, 2)",0.02353568121715671
53,"(11, 0, 3)",0.06945845667809972
54,"(11, 0, 4)",0.023203044622337066
55,"(11, 1, 0)",-0.01831956089590247
56,"(11, 1, 1)",-0.006827384048420272
57,"(11, 1, 2)",0.005498583091060538
58,"(11, 1, 3)",-0.004672676993903297
59,"(11, 1, 4)",0.004138834608831517
60,"(12, 2, 0)",-0.4404971704749321
61,"(12, 2, 1)",-0.15006607196301597
62,"(12, 2, 2)",1.020757485681028e-07
63,"(12, 2, 3)",-0.027347545329531396
64,"(12, 2, 4)",-0.0456360494806633
65,"(12, 1, 0)",-0.07510044853001459
66,"(12, 1, 1)",0.0014793043051617013
67,"(12, 1, 2)",0.008884601609255735
68,"(12, 1, 3)",-0.000624861941916216
69,"(12, 1, 4)",-0.04113830860509275
70,"(12, 0, 0)",-0.04004459055250385
71,"(12, 0, 1)",0.016051207695001603
72,"(12, 0, 2)",0.019093100111617835
73,"(12, 0, 3)",0.014782957620570776
74,"(12, 0, 4)",0.013632069355412734
75,"(13, 2, 0)",-0.2860789133262522
76,"(13, 2, 1)",-0.13465071254668767
77,"(13, 2, 2)",1.2859508336155964e-07
78,"(13, 2, 3)",-0.02992525428182728
79,"(13, 2, 4)",-0.32603997242456323
80,"(13, 0, 0)",-0.04321986390574051
81,"(13, 0, 1)",-0.0684303418789779
82,"(13, 0, 2)",0.00919569076878517
83,"(13, 0, 3)",-0.036241920119118226
84,"(13, 0, 4)",-0.055690219612474834
85,"(13, 1, 0)",-0.021112592006183425
86,"(13, 1, 1)",-0.038947765801432235
87,"(13, 1, 2)",0.0038031476575252523
88,"(13, 1, 3)",-0.0035355293650748097
89,"(13, 1, 4)",-0.020448893609070963
90,"(14, 2, 0)",-0.052905474408058206
91,"(14, 2, 1)",-0.03560469953818728
92,"(14, 2, 2)",8.074569518815834e-15
93,"(14, 2, 3)",-0.07566991029224858
94,"(14, 2, 4)",-0.17023498864403852
95,"(15, 2, 0)",-0.0030298793201699427
96,"(15, 2, 1)",-0.016120862407738197
97,"(15, 2, 2)",1.5263851808813554e-05
98,"(15, 2, 3)",-0.0556953338863854
99,"(15, 2, 4)",-0.28476038808355597
100,"(15, 0, 0)",0.01808288064511748
101,"(15, 0, 1)",0.027526429074939966
102,"(15, 0, 2)",0.027700283023975585
103,"(15, 0, 3)",-0.03373565425535287
104,"(15, 0, 4)",-0.06918229082369656
105,"(15, 1, 0)",-0.009535575041682301
106,"(15, 1, 1)",1.509548444944206e-06
107,"(15, 1, 2)",0.0163195043038701
108,"(15, 1, 3)",0.029261740777081713
109,"(15, 1, 4)",-0.007069374890109267
110,"(16, 2, 0)",0.22187881828464634
111,"(16, 2, 1)",0.44666503541616565
112,"(16, 2, 2)",0.18189198116417998
113,"(16, 2, 3)",0.24783606636983047
114,"(16, 2, 4)",0.28387677075871304
115,"(17, 2, 0)",0.017633299644364945
116,"(17, 2, 1)",0.02341072478780387
117,"(17, 2, 2)",0.017922473209176133
118,"(17, 2, 3)",0.019837042499510786
119,"(17, 2, 4)",-0.5906560000806317
120,"(17, 1, 0)",0.7431036394186197
121,"(17, 1, 1)",0.1674396424350117
122,"(17, 1, 2)",0.01231243399497194
123,"(17, 1, 3)",0.0046773742024370886
124,"(17, 1, 4)",-0.1767175462015932
125,"(18, 2, 0)",0.03563263583342808
126,"(18, 2, 1)",0.04931581885745782
127,"(18, 2, 2)",0.03530839542729555
128,"(18, 2, 3)",-0.1698136806968326
129,"(18, 2, 4)",-1.6875088511670329
130,"(18, 1, 0)",1.9059593443542187
131,"(18, 1, 1)",0.03560823254460589
132,"(18, 1, 2)",0.0004042766893571477
133,"(18, 1, 3)",-0.028971634277493424
134,"(18, 1, 4)",-0.046669805377234405
135,"(18, 0, 0)",0.07389454134433164
136,"(18, 0, 1)",0.0021691682607189304
137,"(18, 0, 2)",0.0017523916024576314
138,"(18, 0, 3)",0.0
139,"(18, 0, 4)",-0.14642032694256402
140,"(9, 0, 0)",-0.07416126611459917
141,"(9, 0, 1)",0.03582934147720198
142,"(9, 0, 2)",0.32408738656915537
143,"(9, 0, 3)",0.08687682808282743
144,"(9, 0, 4)",0.0878522835973435
145,"(9, 1, 0)",0.4043270800453871
